Order ID,Product ID,Product Name,SKU ID,Price,Payment Amount,Currency,Quantity,Fully returned or refunded,Payment method,Order Status,Creator Username,Creator Region,Content Type,Content ID,commission model,Standard commission rate,Est. Commission Base,Est. standard commission payment,Actual Commission Base,Actual Commission Payment,Shop Ads commission rate,Est. Shop Ads commission payment,Actual Shop Ads commission payment,Est. co-funded creator bonus,Actual co-funded creator bonus,Time Created,Payment time,Order Delivery Time,Time Commission Paid,Platform
576883891035805859,1729697274006116523,"【VAHDAM】Turmeric Curcumin 1800mg High Strength | Lakadong Turmeric | 95% Curcuminoids with Black Pepper, Ginger & Boswellia Extract | Joint & Mobility Support | 90 Veg Capsules | Food Supplement UK Healthcare",1729735804972079275,14.99,14.99,GBP,1,No,Not cash on delivery,Pending,ronwcarter,,Video,7627015258661555470,fixed commission,15%,23.74,3.56,,,,,,,,16/04/2026 04:21:26,16/04/2026 04:21:29,,,TTS
576883889496037620,1729509299352344747,"VAHDAM KSM-66 Ashwagandha Coffee | Instant Coffee with KSM-66, 95% Curcuminoids Turmeric, Lion’s Mane & Chaga | 40 Servings",1729581609641744555,21.38,25.37,GBP,1,No,Not cash on delivery,Pending,shop.tikcollections,GB,Livestream,7629077403230309142,fixed commission,30%,21.38,6.41,,,,,,,,16/04/2026 04:14:13,16/04/2026 04:14:17,,,TTS
576883888595966597,1729697274006116523,"【VAHDAM】Turmeric Curcumin 1800mg High Strength | Lakadong Turmeric | 95% Curcuminoids with Black Pepper, Ginger & Boswellia Extract | Joint & Mobility Support | 90 Veg Capsules | Food Supplement UK Healthcare",1729735804972079275,16.24,16.24,GBP,1,No,Not cash on delivery,Pending,ronwcarter,,Video,7627399666077863182,fixed commission,15%,23.74,3.56,,,,,,,,16/04/2026 04:12:53,16/04/2026 04:12:56,,,TTS
576883881111296824,1729509299352344747,"VAHDAM KSM-66 Ashwagandha Coffee | Instant Coffee with KSM-66, 95% Curcuminoids Turmeric, Lion’s Mane & Chaga | 40 Servings",1729636075899295915,47.99,47.99,GBP,1,No,Not cash on delivery,Pending,annsdailydeals,GB,Video,7552105352645315862,fixed commission,30%,56.99,17.1,,,,,,,,16/04/2026 03:47:15,16/04/2026 03:47:18,,,TTS
576883875119405635,1729509299352344747,"VAHDAM KSM-66 Ashwagandha Coffee | Instant Coffee with KSM-66, 95% Curcuminoids Turmeric, Lion’s Mane & Chaga | 40 Servings",1729581609641810091,39.89,39.89,GBP,1,No,Not cash on delivery,Pending,ifemide_80,GB,Video,7626867254285585686,fixed commission,,39.89,,,,10%,3.99,,,,16/04/2026 03:30:18,16/04/2026 03:30:22,,,TTS
576883869689616717,1729509299352344747,"VAHDAM KSM-66 Ashwagandha Coffee | Instant Coffee with KSM-66, 95% Curcuminoids Turmeric, Lion’s Mane & Chaga | 40 Servings",1729581609641744555,17.28,17.28,GBP,1,No,Not cash on delivery,Pending,sharmin_nippa,GB,Video,7624285488072903958,fixed commission,25%,25.08,6.27,,,,,,,,16/04/2026 03:20:19,16/04/2026 03:20:23,,,TTS
576883866797709972,1729509299352344747,"VAHDAM KSM-66 Ashwagandha Coffee | Instant Coffee with KSM-66, 95% Curcuminoids Turmeric, Lion’s Mane & Chaga | 40 Servings",1729581609641744555,24.69,28.68,GBP,1,No,Not cash on delivery,Pending,authenticdeals,GB,Video,7627741200971304214,fixed commission,25%,24.69,6.17,,,,,,,,16/04/2026 03:09:58,16/04/2026 03:10:02,,,TTS
576883866005445597,1729697281939642539,"VAHDAM Green Burner 500 mg Green Tea Extract with Apple Cider Vinegar, Garcinia Cambogia, L-Carnitine & Bacillus Coagulans",1729723796674353323,23.74,23.74,GBP,1,No,Not cash on delivery,Pending,chance4356,GB,Livestream,7629079819371727638,fixed commission,30%,23.74,7.12,,,,,,,,16/04/2026 03:08:13,16/04/2026 03:08:16,,,TTS
576883855310428235,1729509299352344747,"VAHDAM KSM-66 Ashwagandha Coffee | Instant Coffee with KSM-66, 95% Curcuminoids Turmeric, Lion’s Mane & Chaga | 40 Servings",1729636075899295915,41.99,41.99,GBP,1,No,Not cash on delivery,Ineligible,1jandjeff,GB,Video,7624165085576957206,fixed commission,25%,59.99,15,,,,,,,,16/04/2026 02:43:03,,,,TTS
576883849636780921,1729509299352344747,"VAHDAM KSM-66 Ashwagandha Coffee | Instant Coffee with KSM-66, 95% Curcuminoids Turmeric, Lion’s Mane & Chaga | 40 Servings",1729581609641744555,22.09,22.09,GBP,1,No,Not cash on delivery,Pending,shammi_124,GB,Video,7616128987680541974,fixed commission,25%,24.69,6.17,,,,,,,,16/04/2026 02:29:24,16/04/2026 02:29:27,,,TTS
